section,key,count
dataset,total,613
source_label_defect,acceptance_criterion|rule_seeded|False,69
source_label_defect,acceptance_criterion|rule_seeded|True,27
source_label_defect,function_spec|test_oracle_derived|False,56
source_label_defect,function_spec|test_oracle_derived|True,144
source_label_defect,issue_statement|rule_seeded|False,37
source_label_defect,issue_statement|rule_seeded|True,59
source_label_defect,layout_change_spec|mutation_description_derived|False,45
source_label_defect,layout_change_spec|mutation_description_derived|True,75
source_label_defect,synthetic_defect|synthetic_injected|True,96
source_label_defect,testing_rule_spec|rule_spec_derived|False,3
source_label_defect,testing_rule_spec|rule_spec_derived|True,2
defect_type,ambiguous_term,32
defect_type,missing_actor,106
defect_type,missing_trigger,165
defect_type,missing_expected_outcome,47
defect_type,missing_constraint,34
defect_type,not_testable,33
defect_type,overly_broad_requirement,40
defect_type,inconsistent_condition,15
defect_type,unsupported_external_assumption,15
