model,condition,n,parse_rate,any_defect_accuracy,type_exact_match_rate,type_precision,type_recall,type_f1,macro_type_precision,macro_type_recall,macro_type_f1,supported_defect_types,severity_weighted_precision,severity_weighted_recall,severity_weighted_f1,false_alarm_rate,missed_defect_rate,missed_major_or_critical_rate,mean_over_report_count,mean_under_report_count,mean_severity_abs_error,span_support_rate,unsupported_span_rate,mean_confidence,brier_any_defect,ece_any_defect,high_confidence_wrong_rate,low_confidence_correct_rate,needs_human_review_rate,mean_pred_defect_count,mean_elapsed_sec
deepseek-coder:6.7b,rubric_guided,613,1.0,0.3572593800978793,0.3425774877650897,0.4,0.008213552361396304,0.01609657947686117,0.05555555555555555,0.009456264775413711,0.01616161616161616,9,0.47058823529411764,0.01263823064770932,0.024615384615384615,0.0,0.6427406199021207,0.11908646003262642,0.0016313213703099511,0.7797716150081566,0.7716150081566069,0.6666666666666666,0.4,0.9967373572593801,0.34371941272430667,0.6419249592169657,0.6411092985318108,0.0016313213703099511,0.0,0.01631321370309951,1.611975530179444
deepseek-coder:6.7b,zero_shot,613,0.99836867862969,0.35889070146818924,0.3425774877650897,0.2727272727272727,0.006160164271047228,0.012048192771084338,0.041666666666666664,0.0070921985815602835,0.012121212121212123,9,0.35294117647058826,0.009478672985781991,0.018461538461538463,0.0,0.6411092985318108,0.11745513866231648,0.0016313213703099511,0.7781402936378466,0.766721044045677,0.6,0.45454545454545453,0.9953507340946166,0.3452569331158238,0.6380913539967373,0.6378466557911908,0.0016313213703099511,0.0,0.01794453507340946,1.6833507340946174
gemma3:4b,rubric_guided,613,0.9885807504078303,0.6492659053833605,0.0701468189233279,0.09181969949916527,0.11293634496919917,0.1012891344383057,0.17355933060668807,0.16985818236600464,0.1117685257425743,9,0.12111801242236025,0.12322274881516587,0.12216131558339859,0.3360522022838499,0.01468189233278956,0.004893964110929853,0.3360522022838499,0.1533442088091354,0.49755301794453505,0.8614357262103506,0.13856427378964942,0.8499184339314938,0.2718678629690029,0.20717781402937094,0.3425774877650897,0.0032626427406199023,0.001652892561983471,0.9771615008156607,3.452427406199022
gemma3:4b,zero_shot,613,0.9885807504078303,0.6574225122349103,0.09135399673735727,0.1035653650254669,0.12525667351129363,0.11338289962825278,0.17595026974756325,0.20370947164595476,0.14647996450869563,9,0.13153724247226625,0.13112164296998421,0.13132911392405067,0.32300163132137033,0.01957585644371941,0.0065252854812398045,0.32463295269168024,0.15823817292006526,0.48776508972267535,0.8809523809523809,0.11884550084889643,0.8484502446982151,0.27408646003262443,0.19755301794454222,0.33278955954323003,0.0016313213703099511,0.0033003300330033004,0.9608482871125612,9.521787928221865
granite3.2-vision:latest,rubric_guided,613,0.9967373572593801,0.3539967373572594,0.32463295269168024,0.06976744186046512,0.006160164271047228,0.011320754716981133,0.007751937984496124,0.010416666666666666,0.008888888888888887,9,0.06976744186046512,0.004739336492890996,0.008875739644970414,0.004893964110929853,0.6411092985318108,0.12071778140293637,0.022838499184339316,0.7471451876019576,0.7585644371941273,0.0,1.0,0.9375693311582362,0.3098582381729197,0.583572593800974,0.6427406199021207,0.0,0.011456628477905073,0.0701468189233279,0.871252854812398
granite3.2-vision:latest,zero_shot,613,0.9951060358890701,0.3539967373572594,0.2903752039151713,0.04225352112676056,0.006160164271047228,0.01075268817204301,0.004694835680751174,0.010416666666666666,0.006472491909385114,9,0.04225352112676056,0.004739336492890996,0.008522727272727274,0.0032626427406199023,0.6427406199021207,0.11908646003262642,0.057096247960848286,0.7357259380097879,0.7814029363784666,0.0,1.0,0.9300815660685131,0.29774518760195695,0.5826101141924891,0.6443719412724307,0.0032626427406199023,0.006557377049180328,0.11582381729200653,0.9302267536704723
llama3.2:3b,rubric_guided,613,0.9951060358890701,0.6231647634584013,0.06525285481239804,0.061619718309859156,0.07186858316221766,0.06635071090047394,0.3968987074577137,0.1139563723721102,0.0711531955964104,9,0.07944732297063903,0.07266982622432859,0.07590759075907591,0.32300163132137033,0.053833605220228384,0.02936378466557912,0.32300163132137033,0.19086460032626426,0.5024469820554649,0.05182341650671785,0.9481765834932822,0.8092495921696516,0.26998482871125445,0.18934747145187042,0.3605220228384992,0.0016313213703099511,0.0,0.9265905383360522,0.8560929853181067
llama3.2:3b,zero_shot,613,0.9951060358890701,0.6378466557911908,0.06851549755301795,0.059130434782608696,0.06981519507186858,0.064030131826742,0.18245730440350302,0.12086225205749611,0.06768834545018189,9,0.07363013698630137,0.0679304897314376,0.07066557107641742,0.32137030995106036,0.040783034257748776,0.021207177814029365,0.32137030995106036,0.17781402936378465,0.48776508972267535,0.03925233644859813,0.9607476635514018,0.7970962479608426,0.2652489396411075,0.18208809135399112,0.3425774877650897,0.011419249592169658,0.0,0.9380097879282219,0.8387096247960861
qwen2.5-coder:1.5b,rubric_guided,613,0.9951060358890701,0.6606851549755302,0.06688417618270799,0.08923512747875353,0.1293634496919918,0.10561609388097233,0.0521067220902016,0.1086270496544542,0.062026616889454295,9,0.10803324099722991,0.12322274881516587,0.11512915129151291,0.3360522022838499,0.0032626427406199023,0.0016313213703099511,0.48776508972267535,0.13050570962479607,0.4632952691680261,0.4047226798462384,0.5926449787835927,0.7769494290375125,0.24015024469820567,0.1260522022838446,0.03262642740619902,0.004893964110929853,0.44426229508196724,1.1517128874388254,0.947063621533441
qwen2.5-coder:1.5b,zero_shot,613,0.9918433931484503,0.6574225122349103,0.0864600326264274,0.10416666666666667,0.1540041067761807,0.12427506213753108,0.05103954779416764,0.09510059943266547,0.06334493882321852,9,0.12092391304347826,0.1406003159557662,0.13002191380569758,0.33442088091353994,0.008156606851549755,0.0032626427406199023,0.5154975530179445,0.13539967373572595,0.4698205546492659,0.4286898839137645,0.5680555555555555,0.7654649265905349,0.23835383360522025,0.12109298531810521,0.03099510603588907,0.0065252854812398045,0.3667763157894737,1.1745513866231647,0.9658417618270801
qwen2.5-coder:14b,rubric_guided,613,0.99836867862969,0.47797716150081565,0.3442088091353997,0.3387096774193548,0.1293634496919918,0.18722139673105495,0.39296296296296296,0.08855575059320306,0.1121670118235182,9,0.35071090047393366,0.11690363349131122,0.17535545023696683,0.03262642740619902,0.4893964110929853,0.07830342577487764,0.13376835236541598,0.6247960848287113,0.6492659053833605,0.9754098360655737,0.023391812865497075,0.9584502446982052,0.3369316476345836,0.5012561174551387,0.5154975530179445,0.0016313213703099511,0.0032679738562091504,0.3034257748776509,4.857794453507338
qwen2.5-coder:14b,zero_shot,613,0.9967373572593801,0.4828711256117455,0.3556280587275693,0.3419354838709677,0.10882956878850103,0.16510903426791276,0.37495590828924164,0.08260850171729335,0.10285398332268095,9,0.35911602209944754,0.10268562401263823,0.1597051597051597,0.02773246329526917,0.4893964110929853,0.0766721044045677,0.08482871125611746,0.6264274061990212,0.6427406199021207,0.9833333333333333,0.013605442176870748,0.9611256117455133,0.3361156606851544,0.5034747145187606,0.5154975530179445,0.0032626427406199023,0.0016366612111292963,0.2528548123980424,4.4127601957585725
qwen2.5-coder:32b,rubric_guided,613,0.9951060358890701,0.6721044045676998,0.200652528548124,0.19523809523809524,0.33675564681724846,0.24717407686510925,0.34323131683049085,0.25719879345401814,0.21994529320647838,9,0.22477064220183487,0.30963665086887837,0.26046511627906976,0.17455138662316477,0.1533442088091354,0.03588907014681892,0.8270799347471451,0.25122349102773245,0.4535073409461664,0.963855421686747,0.03934871099050204,0.8126427406199009,0.2840008156606853,0.14706362153344138,0.15171288743882544,0.0032626427406199023,0.2442622950819672,1.370309951060359,21.77665252854812
qwen2.5-coder:32b,zero_shot,613,0.9951060358890701,0.6606851549755302,0.22185970636215335,0.18281036834924966,0.2751540041067762,0.21967213114754103,0.3175307503867396,0.23609788961791464,0.21909594718619044,9,0.21287779237844942,0.2559241706161137,0.23242467718794835,0.1533442088091354,0.1859706362153344,0.04241435562805873,0.6933115823817292,0.29200652528548127,0.46492659053833607,0.9755671902268761,0.027243589743589744,0.8203915171288725,0.28565252854812423,0.17194127243066756,0.18433931484502447,0.0032626427406199023,0.23934426229508196,1.1957585644371942,14.33020391517127
qwen2.5-coder:3b,rubric_guided,613,1.0,0.34094616639477976,0.34094616639477976,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0016313213703099511,0.6574225122349103,0.12561174551386622,0.0016313213703099511,0.7944535073409462,0.7846655791190864,1.0,0.0,0.9992332789559543,0.34195905383360525,0.6582871125611746,0.6574225122349103,0.0,0.0,0.0016313213703099511,0.8682675367047307
qwen2.5-coder:3b,zero_shot,613,1.0,0.34094616639477976,0.34094616639477976,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0016313213703099511,0.6574225122349103,0.12561174551386622,0.0016313213703099511,0.7944535073409462,0.7846655791190864,1.0,0.0,0.9994779771615008,0.3419468189233279,0.658531810766721,0.6574225122349103,0.0,0.0,0.0016313213703099511,0.830189233278956
qwen2.5-coder:7b,rubric_guided,613,1.0,0.46166394779771613,0.3442088091353997,0.17307692307692307,0.03696098562628337,0.06091370558375635,0.20797720797720798,0.05184513575471022,0.07223009379872125,9,0.20512820512820512,0.037914691943127965,0.064,0.022838499184339316,0.5154975530179445,0.10929853181076672,0.026101141924959218,0.6508972267536705,0.6851549755301795,0.9,0.11538461538461539,0.9682707993474714,0.34318515497553015,0.5424959216965741,0.5269168026101142,0.0,0.07177814029363784,0.16965742251223492,2.2702202283849915
qwen2.5-coder:7b,zero_shot,613,1.0,0.48613376835236544,0.33931484502446985,0.128,0.03285420944558522,0.052287581699346414,0.1874761359297442,0.04600884733863457,0.06526943551954521,9,0.14492753623188406,0.0315955766192733,0.05188067444876784,0.026101141924959218,0.48776508972267535,0.10766721044045677,0.03262642740619902,0.6231647634584013,0.6590538336052202,0.9117647058823529,0.104,0.9657422512234904,0.3438825448613376,0.5212071778140288,0.5040783034257749,0.0,0.0864600326264274,0.2039151712887439,2.2012675367047314
qwen2.5:3b,rubric_guided,613,0.9918433931484503,0.4094616639477977,0.3376835236541599,0.13559322033898305,0.01642710472279261,0.029304029304029307,0.09422657952069717,0.024453309692671392,0.026458776281596975,9,0.203125,0.020537124802527645,0.03730272596843616,0.01468189233278956,0.5758564437194127,0.09135399673735727,0.01468189233278956,0.7128874388254486,0.7161500815660685,0.9491525423728814,0.05084745762711865,0.7472756933115824,0.23914779771615008,0.345415986949429,0.0065252854812398045,0.0032626427406199023,0.024671052631578948,0.09624796084828711,1.1055464926590521
qwen2.5:3b,zero_shot,613,0.9918433931484503,0.40456769983686786,0.35073409461663946,0.2,0.01642710472279261,0.030360531309297917,0.1286549707602339,0.02556146572104019,0.028117913832199543,9,0.2727272727272727,0.018957345971563982,0.03545051698670606,0.0016313213703099511,0.5938009787928222,0.09951060358890701,0.0016313213703099511,0.7308319738988581,0.7210440456769984,0.9,0.1,0.7454649265905384,0.24090685154975533,0.34970636215334416,0.004893964110929853,0.004893964110929853,0.014802631578947368,0.06525285481239804,1.3371500815660688
qwen2.5vl:3b,rubric_guided,613,0.9738988580750407,0.6786296900489397,0.0864600326264274,0.05197132616487455,0.059548254620123205,0.0555023923444976,0.0057745917960971725,0.10069444444444445,0.010922787193973634,9,0.06537102473498234,0.05845181674565561,0.061718098415346125,0.28711256117455136,0.03425774877650897,0.01631321370309951,0.28711256117455136,0.17128874388254486,0.4469820554649266,0.3924731182795699,0.6075268817204301,0.8050244698205493,0.24795530179445155,0.16880913539966835,0.3164763458401305,0.021207177814029365,0.5142378559463987,0.9102773246329527,1.9512234910277304
qwen2.5vl:3b,zero_shot,613,0.9771615008156607,0.6818923327895595,0.0766721044045677,0.05244755244755245,0.061601642710472276,0.056657223796033995,0.005827505827505828,0.10416666666666667,0.011037527593818984,9,0.06712564543889846,0.061611374407582936,0.0642504118616145,0.2969004893964111,0.021207177814029365,0.011419249592169658,0.2969004893964111,0.15823817292006526,0.4437194127243067,0.4125874125874126,0.5874125874125874,0.8062642740619846,0.2493438825448594,0.16026101141924418,0.3132137030995106,0.01794453507340946,0.4657762938230384,0.933115823817292,1.8348727569331147
qwen3:4b,rubric_guided,613,1.0,0.6313213703099511,0.1631321370309951,0.06828193832599119,0.06365503080082136,0.06588735387885228,0.25172895054784816,0.09205880772683026,0.06867446965870992,9,0.07422680412371134,0.05687203791469194,0.06440071556350625,0.21207177814029363,0.1566068515497553,0.053833605220228384,0.2398042414355628,0.2936378466557912,0.533442088091354,0.9691075514874142,0.03303964757709251,0.852610114192492,0.2790934747145174,0.229119086460029,0.3605220228384992,0.008156606851549755,0.0032626427406199023,0.7406199021207178,45.13136378466558
qwen3:4b,zero_shot,613,1.0,0.6313213703099511,0.15171288743882544,0.079002079002079,0.07802874743326489,0.07851239669421489,0.2579289876037844,0.12590577763450106,0.10311174303553342,9,0.10261194029850747,0.08688783570300158,0.09409751924721986,0.2234910277324633,0.14518760195758565,0.052202283849918436,0.2724306688417618,0.2822185970636215,0.531810766721044,0.9778270509977827,0.02268041237113402,0.8433931484502403,0.27651908646003126,0.23295269168025765,0.3523654159869494,0.01957585644371941,0.0016313213703099511,0.7846655791190864,48.733729200652554
