model,condition,family,type,n,selection_score,parse_rate,any_defect_accuracy,type_f1,macro_type_f1,severity_weighted_f1,type_precision,type_recall,type_exact_match_rate,false_alarm_rate,missed_defect_rate,missed_major_or_critical_rate,span_support_rate,brier_any_defect,ece_any_defect,mean_elapsed_sec,reason
gemma3:4b,zero_shot,Gemma 3,general-instruct,613,30.464879529949446,0.9885807504078303,0.6574225122349103,0.11338289962825278,0.14647996450869563,0.13132911392405067,0.1035653650254669,0.12525667351129363,0.09135399673735727,0.32300163132137033,0.01957585644371941,0.0065252854812398045,0.8809523809523809,0.27408646003262443,0.19755301794454222,9.521787928221865,high false-alarm rate; low missed-defect rate; well-grounded spans; Google-family baseline
gemma3:4b,rubric_guided,Gemma 3,general-instruct,613,29.01270007144639,0.9885807504078303,0.6492659053833605,0.1012891344383057,0.1117685257425743,0.12216131558339859,0.09181969949916527,0.11293634496919917,0.0701468189233279,0.3360522022838499,0.01468189233278956,0.004893964110929853,0.8614357262103506,0.2718678629690029,0.20717781402937094,3.452427406199022,high false-alarm rate; low missed-defect rate; well-grounded spans; Google-family baseline
qwen3:4b,zero_shot,Qwen3,general-instruct,613,28.109344493283132,1.0,0.6313213703099511,0.07851239669421489,0.10311174303553342,0.09409751924721986,0.079002079002079,0.07802874743326489,0.15171288743882544,0.2234910277324633,0.14518760195758565,0.052202283849918436,0.9778270509977827,0.27651908646003126,0.23295269168025765,48.733729200652554,weak defect-type discrimination; well-grounded spans; slow runtime; newer general Qwen-family baseline
qwen2.5-coder:14b,rubric_guided,Qwen2.5-Coder,code-specialized,613,28.106683725341014,0.99836867862969,0.47797716150081565,0.18722139673105495,0.1121670118235182,0.17535545023696683,0.3387096774193548,0.1293634496919918,0.3442088091353997,0.03262642740619902,0.4893964110929853,0.07830342577487764,0.9754098360655737,0.3369316476345836,0.5012561174551387,4.857794453507338,low false-alarm rate; misses many defects; well-grounded spans; poor confidence calibration; larger code baseline
qwen2.5-coder:1.5b,zero_shot,Qwen2.5-Coder,code-specialized,613,28.048870092896298,0.9918433931484503,0.6574225122349103,0.12427506213753108,0.06334493882321852,0.13002191380569758,0.10416666666666667,0.1540041067761807,0.0864600326264274,0.33442088091353994,0.008156606851549755,0.0032626427406199023,0.4286898839137645,0.23835383360522025,0.12109298531810521,0.9658417618270801,poor minority-defect coverage; high false-alarm rate; low missed-defect rate; fast runtime; fast small code baseline
qwen2.5-coder:14b,zero_shot,Qwen2.5-Coder,code-specialized,613,27.43119519967482,0.9967373572593801,0.4828711256117455,0.16510903426791276,0.10285398332268095,0.1597051597051597,0.3419354838709677,0.10882956878850103,0.3556280587275693,0.02773246329526917,0.4893964110929853,0.0766721044045677,0.9833333333333333,0.3361156606851544,0.5034747145187606,4.4127601957585725,low false-alarm rate; misses many defects; well-grounded spans; poor confidence calibration; larger code baseline
qwen2.5-coder:1.5b,rubric_guided,Qwen2.5-Coder,code-specialized,613,27.215734402507472,0.9951060358890701,0.6606851549755302,0.10561609388097233,0.062026616889454295,0.11512915129151291,0.08923512747875353,0.1293634496919918,0.06688417618270799,0.3360522022838499,0.0032626427406199023,0.0016313213703099511,0.4047226798462384,0.24015024469820567,0.1260522022838446,0.947063621533441,poor minority-defect coverage; high false-alarm rate; low missed-defect rate; fast runtime; fast small code baseline
qwen3:4b,rubric_guided,Qwen3,general-instruct,613,26.85509468928531,1.0,0.6313213703099511,0.06588735387885228,0.06867446965870992,0.06440071556350625,0.06828193832599119,0.06365503080082136,0.1631321370309951,0.21207177814029363,0.1566068515497553,0.053833605220228384,0.9691075514874142,0.2790934747145174,0.229119086460029,45.13136378466558,weak defect-type discrimination; poor minority-defect coverage; well-grounded spans; slow runtime; newer general Qwen-family baseline
qwen2.5vl:3b,zero_shot,Qwen2.5-VL,vision-language,613,24.625436900259913,0.9771615008156607,0.6818923327895595,0.056657223796033995,0.011037527593818984,0.0642504118616145,0.05244755244755245,0.061601642710472276,0.0766721044045677,0.2969004893964111,0.021207177814029365,0.011419249592169658,0.4125874125874126,0.2493438825448594,0.16026101141924418,1.8348727569331147,weak defect-type discrimination; poor minority-defect coverage; low missed-defect rate; fast runtime; Qwen multimodal robustness baseline; used because qwen3-vl:4b timed out on the first full-run sample
qwen2.5vl:3b,rubric_guided,Qwen2.5-VL,vision-language,613,24.355819729072387,0.9738988580750407,0.6786296900489397,0.0555023923444976,0.010922787193973634,0.061718098415346125,0.05197132616487455,0.059548254620123205,0.0864600326264274,0.28711256117455136,0.03425774877650897,0.01631321370309951,0.3924731182795699,0.24795530179445155,0.16880913539966835,1.9512234910277304,weak defect-type discrimination; poor minority-defect coverage; low missed-defect rate; fast runtime; Qwen multimodal robustness baseline; used because qwen3-vl:4b timed out on the first full-run sample
llama3.2:3b,zero_shot,Llama 3.2,general-instruct,613,23.08979583463303,0.9951060358890701,0.6378466557911908,0.064030131826742,0.06768834545018189,0.07066557107641742,0.059130434782608696,0.06981519507186858,0.06851549755301795,0.32137030995106036,0.040783034257748776,0.021207177814029365,0.03925233644859813,0.2652489396411075,0.18208809135399112,0.8387096247960861,weak defect-type discrimination; poor minority-defect coverage; high false-alarm rate; low missed-defect rate; fast runtime; non-Qwen general baseline
llama3.2:3b,rubric_guided,Llama 3.2,general-instruct,613,22.799805408615917,0.9951060358890701,0.6231647634584013,0.06635071090047394,0.0711531955964104,0.07590759075907591,0.061619718309859156,0.07186858316221766,0.06525285481239804,0.32300163132137033,0.053833605220228384,0.02936378466557912,0.05182341650671785,0.26998482871125445,0.18934747145187042,0.8560929853181067,weak defect-type discrimination; poor minority-defect coverage; high false-alarm rate; low missed-defect rate; fast runtime; non-Qwen general baseline
